feature,importance
lag_1,0.6369793413912975
lag_24,0.13385054339552432
roll_mean_24,0.09530869270395818
hour_sin,0.025646746697512043
hour_cos,0.021818854846403772
lag_48,0.01857637717187449
hour,0.009034675775656125
trend_24h,0.00855162445685486
lag_2,0.008233139114803265
roll_max_24,0.007504967967507257
trend_1h,0.004250515411413878
lag_168,0.0036157611737961774
roll_min_6,0.0026387852855375513
sunshine_s_lag1,0.002602205748435501
lag_12,0.002259163989707148
roll_max_168,0.002253087588137985
lag_3,0.001925789167628915
temp_sq,0.001768198322247946
temp_lag1,0.0013587485252511229
roll_std_6,0.0011070736099383016
month,0.0010893368717618352
roll_min_24,0.0009612289740751213
lag_6,0.0009045182983464738
month_cos,0.0007218994467604528
feels_like_lag1,0.000638461233198305
gdp_per_capita,0.0006253007397146438
urban_pop_pct,0.0005579266899880618
roll_max_6,0.00048800424691846956
temp_roll24,0.000464589033516618
is_morning_peak,0.0004332848644482873
roll_mean_6,0.00041243863396313454
feels_like_roll24,0.00038902773806654046
roll_mean_168,0.0002906770831736194
humidity_lag1,0.00026485629319820763
heat_stress,0.0002533065689115285
roll_std_24,0.00024158639420965
month_sin,0.00020621800080863954
roll_std_168,0.00019513715276602185
is_evening_peak,0.00019086204817572318
dow_sin,0.00018904105233431774
humidity_roll24,0.00017175396657716482
dow,0.000164860404148033
cloud_cover_roll24,0.00016271489938847955
sunshine_s_roll24,0.00014570942744692044
dow_cos,0.00013213471585541139
precip_lag1,0.00011770302575712446
precip_roll24,9.878512426504729e-05
roll_min_168,8.961865734022717e-05
cloud_cover_lag1,7.056268216876231e-05
is_weekend,3.7442362555776076e-05
cool_night,6.7210266750805494e-06
is_rain,0.0
